Prolific-ID,IndFair-1,IndFair-2,IndFair-3,IndFair-4,IndFair-5,IndFair-6,IndFair-7,IndFair-8,IndFair-9
60fcd9699c3def3068403b90,"Yes: online hate speech based on a non-race sensitive attribute (such as gender, sexual orientation, etc.)","Yes: verbal hate speech based on a non-race sensitive attribute (such as gender, sexual orientation, etc.)",Never,Born in the USA,No Asian background,0,Very necessary,"Criminal punishment (such as community service, probation, jail time)",(Almost) never
62d2aee15e1dc6709bdcace0,No,No,Never,Born in the USA,No Asian background,0,Necessary,Banning the hate speech creator from the relevant social media platform,Monthly
60bd28cc95ab27d4f4f6ada3,No,No,Never,Born in the USA,No Asian background,0,Very unnecessary,No sanction,(Almost) never
5e176b2163c7a407ce2f02a1,No,No,1 day - 1 month,Born in the USA,No Asian background,0,Unnecessary,Deleting the hateful content (such as specific hate tweets),Yearly
5f77abf7352cf73063e096df,"Yes: online hate speech based on a non-race sensitive attribute (such as gender, sexual orientation, etc.)","Yes: verbal hate speech based on a non-race sensitive attribute (such as gender, sexual orientation, etc.)",Never,Born in the USA,No Asian background,1,Very necessary,Banning the hate speech creator from the relevant social media platform,Daily
570d22b35e5156000efd8bd5,No,No,Never,Born in the USA,No Asian background,0,Very necessary,Banning the hate speech creator from the relevant social media platform,(Almost) never
5dfe8e7bdc8535b21b18ea2f,No,No,1 day - 1 month,Born in the USA,No Asian background,0,Necessary,Banning the hate speech creator from the relevant social media platform,(Almost) never
63d3ff13c170f19987725d18,"Yes: online hate speech against a non-Asian race/ethnicity (such as against Black, Hispanic, etc.)","Yes: verbal hate speech based on a non-race sensitive attribute (such as gender, sexual orientation, etc.)",Prefer not to answer,Born in the USA,No Asian background,Prefer not to answer,Necessary,Banning the hate speech creator from the relevant social media platform,(Almost) always
5a63bd0113898300014b3bb9,No,No,1 month - 1 year,Born in the USA,No Asian background,0,Necessary,Banning the hate speech creator from the relevant social media platform,(Almost) never
5f4ee0e82f0d6c12d692c29b,"Yes: online hate speech based on a non-race sensitive attribute (such as gender, sexual orientation, etc.)","Yes: verbal hate speech based on a non-race sensitive attribute (such as gender, sexual orientation, etc.)",Never,Born in the USA,No Asian background,0,Neutral,Banning the hate speech creator from the relevant social media platform,Yearly
60dfd857e293a99dd577f4c8,No,No,Never,Born in the USA,No Asian background,0,Neutral,No sanction,(Almost) never
5c6f64cdcacbc8000113ed19,No,No,Never,Born in the USA,No Asian background,0,Neutral,Banning the hate speech creator from the relevant social media platform,(Almost) never
5beccd423b6489000156596f,No,"Yes: verbal hate speech based on a non-race sensitive attribute (such as gender, sexual orientation, etc.)",Never,Born in the USA,No Asian background,0,Neutral,Deleting the hateful content (such as specific hate tweets),Monthly
62f0f422c25e8ccbcb742154,"Yes: online hate speech based on a non-race sensitive attribute (such as gender, sexual orientation, etc.)","Yes: verbal hate speech based on a non-race sensitive attribute (such as gender, sexual orientation, etc.)",Never,Born in the USA,No Asian background,0,Unnecessary,No sanction,(Almost) always
5d1d3f10d5669200017b4e46,"Yes: online hate speech based on a non-race sensitive attribute (such as gender, sexual orientation, etc.)","Yes: verbal hate speech based on a non-race sensitive attribute (such as gender, sexual orientation, etc.)",Never,Born in the USA,No Asian background,0,Very unnecessary,Civil damages (such as financial compensation for the victims’ mental sufferings),(Almost) always
648868ab86c65ebe29777662,No,No,Never,Born in the USA,No Asian background,0,Necessary,Civil damages (such as financial compensation for the victims’ mental sufferings),(Almost) never
561d98e03d7fe8000b0f5e09,No,No,Never,Born in the USA,No Asian background,0,Necessary,Civil damages (such as financial compensation for the victims’ mental sufferings),Daily
647654b5c93db305ae533763,No,"Yes: verbal hate speech against a non-Asian race/ethnicity (such as against Black, Hispanic, etc.)",Never,Born in the USA,No Asian background,0,Very unnecessary,No sanction,Daily
5765dffd7805730001ecfcd0,No,"Yes: verbal hate speech against a non-Asian race/ethnicity (such as against Black, Hispanic, etc.)",Never,Born in the USA,No Asian background,0,Necessary,Banning the hate speech creator from the relevant social media platform,(Almost) never
5e36f211c5175f000b4038e9,No,No,Never,Born in the USA,No Asian background,0,Necessary,Deleting the hateful content (such as specific hate tweets),(Almost) never
5a388fdc0006450001bf2983,No,No,Never,Born in the USA,No Asian background,0,Necessary,Banning the hate speech creator from the relevant social media platform,Weekly
60a7ba346d47f96dd56209cf,No,"Yes: verbal hate speech based on a non-race sensitive attribute (such as gender, sexual orientation, etc.)",1 day - 1 month,Born in the USA,"An East Asian or Southeast Asian country not mentioned above (such as Mongolia, Singapore, etc.)",0,Neutral,Banning the hate speech creator from the relevant social media platform,(Almost) never
5cda0f40fbe78a00192192a3,No,No,1 day - 1 month,Born in the USA,No Asian background,0,Necessary,Banning the hate speech creator from the relevant social media platform,(Almost) never
644e70a29cba8cc79d738a7a,No,No,Never,Born in the USA,No Asian background,0,Neutral,Banning the hate speech creator from the relevant social media platform,(Almost) never
615e1782e969d4939045c54f,No,No,Never,Born in the USA,No Asian background,0,Necessary,Civil damages (such as financial compensation for the victims’ mental sufferings),(Almost) never
5ddd2a4459b1b0c7509c7a47,No,"Yes: verbal hate speech based on a non-race sensitive attribute (such as gender, sexual orientation, etc.)",Never,Born in the USA,No Asian background,0,Necessary,Banning the hate speech creator from the relevant social media platform,Yearly
63ddc6baab6a2130b8a41bf7,"Yes: online hate speech based on a non-race sensitive attribute (such as gender, sexual orientation, etc.)","Yes: verbal hate speech based on a non-race sensitive attribute (such as gender, sexual orientation, etc.)",Never,Born in the USA,No Asian background,0,Very necessary,"Criminal punishment (such as community service, probation, jail time)",Weekly
581649f0b434f0000184d2a9,No,No,Never,Born in the USA,No Asian background,1,Very necessary,Civil damages (such as financial compensation for the victims’ mental sufferings),(Almost) never
5e6fd3293c76d25a3ca8b384,No,No,1 month - 1 year,Born in the USA,No Asian background,0,Necessary,Banning the hate speech creator from the relevant social media platform,(Almost) never
63eab29693a6eb7fd0174010,"Yes: online hate speech based on a non-race sensitive attribute (such as gender, sexual orientation, etc.)",Prefer not to answer,Never,Born in the USA,No Asian background,0,Unnecessary,Banning the hate speech creator from the relevant social media platform,(Almost) always
5f4c49b249b99c1462dd2640,"Yes: online hate speech based on a non-race sensitive attribute (such as gender, sexual orientation, etc.)",No,Never,Born in the USA,No Asian background,0,Necessary,Civil damages (such as financial compensation for the victims’ mental sufferings),Monthly
6448b02780b6d2fc3ea9d479,"Yes: online hate speech based on a non-race sensitive attribute (such as gender, sexual orientation, etc.)","Yes: verbal hate speech based on a non-race sensitive attribute (such as gender, sexual orientation, etc.)",Never,Born in the USA,No Asian background,0,Very necessary,Banning the hate speech creator from the relevant social media platform,Daily
5c58e01e6f4ec5000164c35a,No,No,Never,Born in the USA,No Asian background,0,Very necessary,Civil damages (such as financial compensation for the victims’ mental sufferings),(Almost) always
61033ec7e702e52a3bc8e606,No,No,Never,Born in the USA,No Asian background,0,Necessary,Civil damages (such as financial compensation for the victims’ mental sufferings),(Almost) never
6400f087f7c99ab99abdf3c8,No,"Yes: verbal hate speech based on a non-race sensitive attribute (such as gender, sexual orientation, etc.)",Never,Born in the USA,No Asian background,0,Neutral,Civil damages (such as financial compensation for the victims’ mental sufferings),Monthly
581d38509b5b8800014d507e,No,Prefer not to answer,Never,Born in the USA,No Asian background,0,Necessary,Banning the hate speech creator from the relevant social media platform,(Almost) never
5eab19e1b72f750cd7413764,No,"Yes: verbal hate speech based on a non-race sensitive attribute (such as gender, sexual orientation, etc.)",Never,Born in the USA,No Asian background,0,Necessary,"Criminal punishment (such as community service, probation, jail time)",(Almost) never
614e2446523bb49af662fb62,No,"Yes: verbal hate speech against a non-Asian race/ethnicity (such as against Black, Hispanic, etc.)",Never,Born in the USA,No Asian background,0,Unnecessary,Deleting the hateful content (such as specific hate tweets),Weekly
5dd33bd8f01cbe3350807cf6,No,No,Never,Born in the USA,No Asian background,0,Necessary,Banning the hate speech creator from the relevant social media platform,(Almost) never
63ed6bb63692bbe5e0e4f0c2,No,"Yes: verbal hate speech against a non-Asian race/ethnicity (such as against Black, Hispanic, etc.)",Never,Born in the USA,No Asian background,0,Necessary,Deleting the hateful content (such as specific hate tweets),(Almost) never
60e9fd8a2f52070be49cf317,No,No,1 day - 1 month,Born in the USA,No Asian background,0,Very necessary,Banning the hate speech creator from the relevant social media platform,(Almost) never
62d133496cf7f774b8bf98a0,No,No,Never,Born in the USA,No Asian background,0,Unnecessary,Banning the hate speech creator from the relevant social media platform,(Almost) never
5e74508464051f3bc699a3ee,No,No,Never,Born in the USA,No Asian background,0,Neutral,Banning the hate speech creator from the relevant social media platform,(Almost) never
63d3fa0d6c990bc96e11becf,No,No,Never,Born in the USA,No Asian background,0,Necessary,Banning the hate speech creator from the relevant social media platform,(Almost) never
614f6bad672ef7cf5ecfd965,No,No,Never,Born in the USA,No Asian background,0,Necessary,Banning the hate speech creator from the relevant social media platform,(Almost) never
590208c89571f50001c666e3,"Yes: online hate speech based on a non-race sensitive attribute (such as gender, sexual orientation, etc.)","Yes: verbal hate speech based on a non-race sensitive attribute (such as gender, sexual orientation, etc.)",Never,Born in the USA,No Asian background,0,Very necessary,"Criminal punishment (such as community service, probation, jail time)",(Almost) always
5d4a03a7278a80001a4fa9df,No,No,Never,Born in the USA,No Asian background,0,Very necessary,Deleting the hateful content (such as specific hate tweets),Weekly
5de260b9553cee28d97b058d,"Yes: online hate speech against a non-Asian race/ethnicity (such as against Black, Hispanic, etc.)","Yes: verbal hate speech against a non-Asian race/ethnicity (such as against Black, Hispanic, etc.)",Never,Born in the USA,No Asian background,1,Very necessary,Banning the hate speech creator from the relevant social media platform,(Almost) never
647e00af96651278d30d298a,No,No,Never,Born in the USA,No Asian background,0,Necessary,Banning the hate speech creator from the relevant social media platform,(Almost) never
5e9f3f09ccc75a0c345e4845,No,No,Never,Born in the USA,No Asian background,0,Necessary,Civil damages (such as financial compensation for the victims’ mental sufferings),(Almost) never
620bdf2aa922fc3f247f706b,No,No,Never,Born in the USA,"An East Asian or Southeast Asian country not mentioned above (such as Mongolia, Singapore, etc.)",0,Neutral,Deleting the hateful content (such as specific hate tweets),Monthly
638e84c70418d8a2c0aa372e,"Yes: online hate speech based on a non-race sensitive attribute (such as gender, sexual orientation, etc.)","Yes: verbal hate speech based on a non-race sensitive attribute (such as gender, sexual orientation, etc.)",Never,Born in the USA,No Asian background,0,Necessary,Banning the hate speech creator from the relevant social media platform,(Almost) never
